course_code,course_name,department,credits,offering_count,teacher_count,total_enrollment,avg_class_capacity,campus_count,primary_course_type,dominant_time_bucket,weekend_offering_ratio,virtual_schedule_ratio
SOC1006,人际交往艺术,上海交大-南加州大学文化创意产业学院,2.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0
ECON1004,金融心智：金融素养的提升,上海高级金融学院,2.0,1,1,100,100.0,1,通识核心课程,evening,0.0,0.0
AI1802,程序设计基础（荣誉）,人工智能学院,4.0,1,1,411,137.0,1,必修,evening,0.0,0.0
AI1804,算法设计与分析,人工智能学院,3.0,1,1,130,82.0,1,必修,afternoon,0.0,0.0
AI1806,信号与系统（B类）,人工智能学院,3.0,1,1,74,62.0,1,限选,morning,0.0,0.0
AI1807,数值分析,人工智能学院,2.0,1,1,65,82.0,1,必修,morning,0.0,0.0
AI1810,人工智能基本原理与工程实践I（智能导论）,人工智能学院,2.0,1,1,137,137.0,1,必修,afternoon,0.0,0.0
AI1811,人工智能基本原理与工程实践II（机器学习、深度学习、强化学习）,人工智能学院,3.0,1,1,130,82.0,1,必修,morning,0.0,0.0
ART1002,书法与中国美学,人文学院,3.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0
ART1007,美育实践,人文学院,2.0,3,3,28,15.0,1,通识核心课程,mixed,1.0,0.0
ART1009,世界艺术经典导引,人文学院,3.0,1,1,25,25.0,1,通识核心课程,evening,0.0,0.0
ART1010,世界名剧精品赏析,人文学院,3.0,2,1,60,30.0,1,通识核心课程,evening,0.0,0.0
ART1011,中国服饰艺术专题选讲,人文学院,2.0,1,1,25,25.0,1,通识核心课程,evening,0.0,0.0
ART1120,中国古典美学研究,人文学院,3.0,2,1,59,30.0,1,公共选修课,evening,0.0,0.0
ART1131,表演艺术实践,人文学院,2.0,2,1,40,20.0,1,公共选修课,evening,0.0,0.0
CH013,中国古典诗词欣赏,人文学院,2.0,1,1,0,30.0,1,公共选修课,evening,0.0,0.0
CH171,外国文学名著与电影赏析,人文学院,2.0,1,1,30,30.0,1,个性化课程,mixed,0.0,0.0
CH936,中国现代小说选读,人文学院,2.0,1,1,272,40.0,1,通识核心课程,evening,0.0,0.0
CH944,且共从容：唐宋词讲读,人文学院,2.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0
CHN0902,初级汉语（1）,人文学院,4.0,2,1,0,25.0,2,必修,afternoon,0.0,0.0
CHN0903,初级汉语（2）,人文学院,4.0,1,1,0,25.0,1,必修,evening,0.0,0.0
CHN0904,中级汉语（1）,人文学院,4.0,1,1,0,25.0,1,必修,evening,0.0,0.0
CHN0905,中级汉语（2）,人文学院,4.0,1,1,66,25.0,1,必修,evening,0.0,0.0
CHN0906,高级汉语演讲（1）,人文学院,2.0,1,1,18,25.0,1,必修,evening,0.0,0.0
CHN0907,高级汉语阅读（1）,人文学院,2.0,1,1,36,50.0,1,必修,mixed,0.0,0.0
CHN0914,中国文化概要,人文学院,2.0,2,2,114,60.0,1,必修,mixed,0.0,0.0
CHN1006,古典诗词鉴赏与创作,人文学院,3.0,1,1,25,25.0,1,通识核心课程,evening,0.0,0.0
CHN1011,现代中国文学与文化,人文学院,2.0,1,1,198,40.0,1,通识核心课程,evening,0.0,0.0
CHN1014,汉字文化,人文学院,3.0,1,1,36,36.0,1,通识核心课程,evening,0.0,0.0
CHN1015,《礼记》选读,人文学院,2.0,1,1,36,30.0,1,通识核心课程,evening,0.0,0.0
CHN1017,当代中国经典作家导读,人文学院,2.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0
CHN1020,诗国与诗魂,人文学院,2.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0
CHN1024,经典小说与中国文化,人文学院,2.0,1,1,50,50.0,1,通识核心课程,evening,0.0,0.0
CHN1030,神话与创意,人文学院,2.0,1,1,40,40.0,1,通识核心课程,evening,0.0,0.0
CHN1033,20世纪中国文学名著欣赏,人文学院,2.0,1,1,40,40.0,1,通识核心课程,evening,0.0,0.0
CHN1037,《论语》导读,人文学院,2.0,1,1,39,30.0,1,通识核心课程,evening,0.0,0.0
CHN1103,汉语视听说（1）,人文学院,4.0,1,1,0,3.0,1,必修,morning,0.0,0.0
CHN1203,创意写作（1）,人文学院,4.0,1,1,12,6.0,1,必修,morning,0.0,0.0
CHN1205,中文经典阅读（1）,人文学院,4.0,1,1,0,3.0,1,必修,morning,0.0,0.0
CHN1206,大学语文（1）,人文学院,4.0,1,1,0,3.0,1,必修,afternoon,0.0,0.0
CHN1208,汉语口语交际（1）,人文学院,4.0,1,1,0,3.0,1,必修,morning,0.0,0.0
CHN1302,中国文学史（1）,人文学院,4.0,3,1,130,40.0,1,必修,morning,0.0,0.0
CHN1304,中国历史,人文学院,3.0,2,2,27,13.5,1,必修,morning,0.0,0.0
CHN1311,汉字与中国文化,人文学院,2.0,2,1,50,40.0,1,限选,afternoon,0.0,0.0
CHN1316,中国现代文学,人文学院,3.0,3,3,27,9.0,1,必修,afternoon,0.0,0.0
CHN1317,中国文化概论A,人文学院,4.0,1,1,6,3.0,1,必修,morning,0.0,0.0
CHN1411,普通话正音,人文学院,2.0,2,1,0,30.0,1,限选,mixed,0.0,0.0
CHN1551,前期导师（1）,人文学院,1.0,5,5,27,5.4,1,必修,morning,0.0,0.0
CHN2203,商务汉语综合A（1）,人文学院,4.0,1,1,12,6.0,1,必修,morning,0.0,0.0
CHN2207,现代汉语A(1),人文学院,4.0,1,1,12,6.0,1,必修,morning,0.0,0.0
CHN2209,中国概况A,人文学院,2.0,1,1,6,6.0,1,必修,morning,0.0,0.0
CHN2220,现代汉语（1）,人文学院,2.0,3,2,83,35.67,1,必修,morning,0.0,0.0
CHN2221,现代汉语（2）,人文学院,2.0,1,1,6,40.0,1,必修,evening,0.0,0.0
CHN2302,中国文学史（3）,人文学院,4.0,2,1,116,35.0,1,必修,afternoon,0.0,0.0
CHN2305,中国现代诗歌导读,人文学院,2.0,1,1,60,50.0,1,限选,morning,0.0,0.0
CHN2315,文学概论,人文学院,2.0,1,1,34,35.0,1,必修,morning,0.0,0.0
CHN2326,古代汉语(1）,人文学院,2.0,3,1,87,40.67,1,必修,mixed,0.0,0.0
CHN2401,汉语综合课（3）,人文学院,6.0,2,2,0,30.0,1,必修,morning,0.0,0.0
CHN2402,汉语视听（1）,人文学院,4.0,2,1,0,30.0,1,必修,morning,0.0,0.0
CHN2403,中级汉语口语（1）,人文学院,4.0,2,2,2,30.0,1,必修,afternoon,0.0,0.0
CHN2404,汉语写作（A类）（1）,人文学院,2.0,2,1,0,30.0,2,必修,morning,0.0,0.0
CHN2409,中国概况（B类）,人文学院,2.0,2,1,0,30.0,1,必修,morning,0.0,0.0
CHN2414,中文报刊阅读,人文学院,2.0,2,1,5,33.0,2,限选,afternoon,0.0,0.0
CHN2524,古代经典诵读（1）,人文学院,1.0,2,2,38,23.0,1,必修,morning,1.0,0.0
CHN2526,专业导师（1）,人文学院,1.0,4,4,37,12.0,1,必修,morning,0.0,0.0
CHN2622,大学写作和文学鉴赏,人文学院,2.0,1,1,6,20.0,1,必修,afternoon,0.0,0.0
CHN2626,创意写作（初阶）,人文学院,2.0,1,1,15,20.0,1,必修,afternoon,0.0,0.0
CHN2628,写作,人文学院,2.0,1,1,42,45.0,1,必修,afternoon,0.0,0.0
CHN2722,西方文学史（1）,人文学院,2.0,2,1,56,40.0,1,必修,morning,0.0,0.0
CHN3305,古典文献学,人文学院,2.0,1,1,28,28.0,1,限选,evening,0.0,0.0
CHN3307,二十世纪中国文学思潮,人文学院,2.0,1,1,3,40.0,1,限选,evening,0.0,0.0
CHN3308,美学原典导读,人文学院,2.0,1,1,23,28.0,1,限选,afternoon,0.0,0.0
CHN3312,读书报告（三）（专业导师制活动）,人文学院,1.0,4,4,24,8.0,1,必修,morning,0.0,0.0
CHN3401,汉语写作（B类）（3）,人文学院,2.0,1,1,10,10.0,1,必修,morning,0.0,0.0
CHN3403,当代话题,人文学院,2.0,1,1,12,13.0,1,限选,morning,0.0,0.0
CHN3404,中国经济与政治,人文学院,2.0,2,1,43,24.5,1,限选,afternoon,0.0,0.0
CHN3406,中国古代文学（1）,人文学院,2.0,1,1,10,10.0,1,必修,morning,0.0,0.0
CHN3407,现代汉语（B类）（1）,人文学院,4.0,2,2,88,23.0,1,必修,morning,0.0,0.0
CHN3408,中国现代文学,人文学院,2.0,1,1,10,10.0,1,必修,morning,0.0,0.0
CHN3414,中国商务文化,人文学院,2.0,2,1,41,24.5,1,限选,afternoon,0.0,0.0
CHN3415,中国民俗,人文学院,2.0,2,1,43,24.5,1,限选,afternoon,0.0,0.0
CHN3418,中国现当代文学,人文学院,2.0,2,1,33,19.5,1,限选,morning,0.0,0.0
CHN3419,经贸口语（1）,人文学院,2.0,2,1,33,18.0,1,必修,morning,0.0,0.0
CHN3420,经贸写作,人文学院,2.0,1,1,36,36.0,1,必修,mixed,0.0,0.0
CHN3421,商务汉语综合（1）,人文学院,4.0,1,1,72,36.0,1,必修,morning,0.0,0.0
CHN3422,经济学原理（A类）,人文学院,4.0,1,1,76,39.0,1,必修,evening,0.0,0.0
CHN3427,金融汉语综合（1）,人文学院,4.0,1,1,6,3.0,1,必修,morning,0.0,0.0
CHN3433,综合英语（B类）（3）,人文学院,2.0,1,1,34,43.0,1,必修,afternoon,0.0,0.0
CHN3501,实验语音学,人文学院,2.0,1,1,18,20.0,1,必修,afternoon,0.0,0.0
CHN3502,中国古代文学批评史,人文学院,2.0,1,1,27,35.0,1,必修,mixed,0.0,0.0
CHN3503,中国古代散文选读,人文学院,2.0,1,1,54,60.0,1,限选,mixed,0.0,0.0
CHN3507,佛教与中国文学,人文学院,2.0,1,1,4,35.0,1,限选,morning,0.0,0.0
CHN3521,传统文体写作,人文学院,2.0,1,1,15,20.0,1,限选,mixed,0.0,0.0
CHN3620,创意写作（高阶）,人文学院,2.0,1,1,14,20.0,1,必修,mixed,0.0,0.0
CHN3627,应用文写作,人文学院,2.0,1,1,14,20.0,1,必修,morning,0.0,0.0
CHN3702,欧美文学经典,人文学院,2.0,1,1,60,60.0,1,限选,mixed,0.0,0.0
CHN3721,东亚文学经典,人文学院,2.0,1,1,28,35.0,1,限选,afternoon,0.0,0.0
CHN3724,西方文学史（3）,人文学院,2.0,1,1,32,35.0,1,必修,morning,0.0,0.0
CHN4101,西方文论,人文学院,2.0,2,1,45,31.5,1,必修,morning,0.0,0.0
CHN4401,演讲与口才,人文学院,2.0,1,1,5,9.0,1,限选,morning,0.0,0.0
CHN4404,论文写作,人文学院,2.0,1,1,9,9.0,1,必修,morning,0.0,0.0
CHN4410,市场营销,人文学院,2.0,1,1,9,9.0,1,必修,afternoon,0.0,0.0
CL900,《庄子》智慧与中国文化,人文学院,3.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0
FL2210,英语听说（1）,人文学院,4.0,1,1,12,6.0,1,必修,morning,0.0,0.0
FL3312,现代汉语读写,人文学院,2.0,1,1,17,77.0,1,"必修,限选",morning,0.0,0.0
FL3349,中国现当代文学经典选读,人文学院,2.0,1,1,15,60.0,1,必修,afternoon,0.0,0.0
HI021,二战与中国,人文学院,2.0,1,1,27,60.0,1,公共选修课,mixed,0.0,0.0
HIS1008,哥伦布大交换与现代世界的形成,人文学院,3.0,1,1,33,50.0,1,通识核心课程,evening,0.0,0.0
HIS1017,中国历史地理,人文学院,2.0,1,1,45,45.0,1,通识核心课程,mixed,0.0,0.0
HIS1501,科学技术史,人文学院,2.0,1,1,26,35.0,1,"必修,限选",afternoon,0.0,0.0
HIS1503,世界近现代史,人文学院,3.0,1,1,8,50.0,1,必修,evening,0.0,0.0
HIS1505,中国近代史专题研究,人文学院,3.0,1,1,7,50.0,1,必修,evening,0.0,0.0
HIS2201,考古学专题,人文学院,3.0,1,1,6,50.0,1,必修,evening,0.0,0.0
HIS2501,历史地理学概念,人文学院,3.0,1,1,6,50.0,1,必修,evening,0.0,0.0
HIS2502,历史学的理论与方法,人文学院,3.0,1,1,11,50.0,1,必修,evening,0.0,0.0
HU902,爱的艺术与人生,人文学院,2.0,2,1,89,45.0,1,通识核心课程,evening,0.0,0.0
JC903,美学,人文学院,2.0,1,1,40,40.0,1,通识核心课程,evening,0.0,0.0
LI907,传记经典导读,人文学院,2.0,1,1,153,40.0,1,通识核心课程,evening,0.0,0.0
MU106,钢琴音乐,人文学院,2.0,3,3,55,18.33,1,公共选修课,mixed,0.0,0.0
MU901,交响音乐鉴赏,人文学院,2.0,1,1,40,40.0,1,通识核心课程,mixed,0.0,0.0
MU902,中西乐理及其应用,人文学院,2.0,2,1,60,30.0,1,通识核心课程,evening,0.0,0.0
MU903,世界民族音乐鉴赏,人文学院,2.0,2,1,80,40.0,1,通识核心课程,evening,0.0,0.0
MU904,中国音乐文化史,人文学院,2.0,5,2,160,40.0,1,通识核心课程,evening,0.0,0.0
MUSI1003,世界民族音乐鉴赏,人文学院,2.0,2,1,80,40.0,1,通识核心课程,evening,0.0,0.0
MUSI1005,西方音乐文化史,人文学院,2.0,4,2,152,38.0,1,通识核心课程,mixed,0.0,0.0
MUSI1007,中国现当代歌曲歌词鉴赏与文化研究,人文学院,3.0,2,1,60,30.0,1,通识核心课程,afternoon,0.0,0.0
MUSI1112,乐理基础与歌曲写作,人文学院,2.0,4,1,80,20.0,1,公共选修课,evening,0.0,0.0
MUSI1113,合唱声乐,人文学院,2.0,1,1,25,25.0,1,公共选修课,evening,0.0,0.0
MUSI1114,艺术歌曲演唱与技巧训练,人文学院,2.0,2,1,40,20.0,1,公共选修课,mixed,0.0,0.0
MUSI1115,音乐表演实践,人文学院,3.0,1,1,20,20.0,1,公共选修课,evening,0.0,0.0
MUSI1508,视唱练耳,人文学院,2.0,1,1,7,50.0,1,必修,evening,0.0,0.0
MUSI1509,西方音乐史,人文学院,2.0,1,1,7,50.0,1,必修,evening,0.0,0.0
MUSI2508,作曲技术理论（1）,人文学院,3.0,1,1,6,50.0,1,必修,evening,0.0,0.0
MUSI3505,钢琴演奏基础,人文学院,2.0,1,1,2,50.0,1,限选,evening,0.0,0.0
MUSI3506,音乐分析与配器法,人文学院,2.0,1,1,10,50.0,1,必修,evening,0.0,0.0
MUSI3507,世界音乐文化,人文学院,2.0,1,1,8,50.0,1,必修,evening,0.0,0.0
MUSI3509,数字音乐制作,人文学院,2.0,1,1,20,20.0,1,限选,mixed,0.0,0.0
PAC3906,白描摹写与写生,人文学院,2.0,1,1,1,25.0,1,必修,evening,0.0,0.0
PAC3911,行书、草书、篆刻,人文学院,2.0,1,1,2,25.0,1,必修,evening,0.0,0.0
PAC4911,梅兰竹菊与创作,人文学院,2.0,1,1,3,25.0,1,必修,evening,0.0,0.0
PAC4913,明清山水,人文学院,2.0,1,1,2,25.0,1,必修,evening,0.0,0.0
PHIL1005,佛教与中国传统文化,人文学院,2.0,4,1,148,30.0,1,通识核心课程,evening,0.0,0.0
PHIL1010,西方哲学史,人文学院,2.0,1,1,30,30.0,1,通识核心课程,mixed,0.0,0.0
PHIL1011,西方哲学史,人文学院,3.0,1,1,25,40.0,1,通识核心课程,evening,0.0,0.0
PHIL1017,游戏哲学,人文学院,2.0,1,1,30,30.0,1,通识核心课程,mixed,0.0,0.0
PHIL1024,欧洲古典与中世纪哲学精神,人文学院,2.0,1,1,0,40.0,1,通识核心课程,evening,0.0,0.0
PHIL1025,欧洲情感心理哲学专题,人文学院,2.0,1,1,0,40.0,1,通识核心课程,evening,0.0,0.0
PHIL1101,西方宗教文化概论,人文学院,2.0,2,1,38,30.0,1,公共选修课,evening,0.0,0.0
PHIL1503,伦理学,人文学院,3.0,1,1,3,30.0,1,限选,evening,0.0,0.0
PHIL1504,科学哲学,人文学院,3.0,1,1,13,30.0,1,限选,evening,0.0,0.0
PHIL2503,知识论,人文学院,2.0,1,1,14,30.0,1,限选,evening,0.0,0.0
PHIL2504,现代西方哲学,人文学院,3.0,1,1,11,30.0,1,限选,evening,0.0,0.0
PHIL2505,艺术哲学,人文学院,3.0,1,1,7,30.0,1,限选,evening,0.0,0.0
PHIL3425,逻辑学,人文学院,2.0,1,1,15,15.0,1,必修,mixed,0.0,0.0
PI925,西方哲学经典导读,人文学院,2.0,2,1,80,40.0,1,通识核心课程,evening,0.0,0.0
PI929,儒家思想与中国文化,人文学院,2.0,1,1,40,40.0,1,通识核心课程,evening,0.0,0.0
SO002,中国人文地理,人文学院,2.0,1,1,11,30.0,1,公共选修课,evening,0.0,0.0
KE1101,体育（5）,体育系,1.0,9,6,159,24.44,1,公共选修课,mixed,0.0,0.0
KE1313,运动生理学,体育系,3.0,1,1,23,24.0,1,必修,morning,0.0,0.0
KE1512,健康教育学,体育系,2.0,1,1,39,39.0,1,必修,morning,0.0,0.0
KE1513,体育概论,体育系,2.0,1,1,39,39.0,1,必修,morning,0.0,0.0
KE1514,体育社会学,体育系,2.0,1,1,22,24.0,1,必修,morning,0.0,0.0
KE1605,运动训练（5）,体育系,4.0,5,5,28,2.8,1,必修,morning,1.0,0.0
KE1611,专项专修（1）,体育系,6.0,9,9,0,4.67,1,必修,morning,1.0,1.0
KE1901,体育N（1）,体育系,2.0,2,2,0,20.0,1,必修,morning,0.0,0.0
KE1903,体育N（3）,体育系,2.0,2,2,42,21.0,1,必修,mixed,0.0,0.0
KE1905,体育N（5）,体育系,2.0,2,2,39,20.0,1,必修,mixed,0.0,0.0
KE2601,运动训练学,体育系,2.0,1,1,24,24.0,1,必修,morning,0.0,0.0
KE2602,运动技能学习与控制,体育系,2.0,1,1,23,24.0,1,必修,morning,0.0,0.0
KE2603,体育竞赛学,体育系,2.0,1,1,23,24.0,1,必修,morning,0.0,0.0
KE2621,专项专修（3）,体育系,6.0,8,8,47,2.89,1,必修,mixed,1.0,0.0
PE001C01,篮球,体育系,1.0,35,14,436,34.0,1,必修,morning,0.0,0.0
PE001C02,网球,体育系,1.0,14,5,414,34.0,1,必修,morning,0.0,0.0
PE001C03,足球,体育系,1.0,2,2,14,34.0,1,必修,morning,0.0,0.0
