course_code,course_name,department,credits,offering_count,teacher_count,total_enrollment,avg_class_capacity,campus_count,primary_course_type,dominant_time_bucket,weekend_offering_ratio,virtual_schedule_ratio,community_avg_rating,community_review_count,community_avg_comment_length,latest_review_at
SOC1006,人际交往艺术,上海交大-南加州大学文化创意产业学院,2.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0,,,,
ECON1004,金融心智：金融素养的提升,上海高级金融学院,2.0,1,1,100,100.0,1,通识核心课程,evening,0.0,0.0,3.091,11.0,363.7,2026/02/11 00:30
AI1802,程序设计基础（荣誉）,人工智能学院,4.0,1,1,411,137.0,1,必修,evening,0.0,0.0,5.0,15.0,139.1,2026/03/26 19:31
AI1804,算法设计与分析,人工智能学院,3.0,1,1,130,82.0,1,必修,afternoon,0.0,0.0,4.0,5.0,160.2,2026/01/24 02:15
AI1806,信号与系统（B类）,人工智能学院,3.0,1,1,74,62.0,1,限选,morning,0.0,0.0,5.0,1.0,162.0,2026/01/23 17:17
AI1807,数值分析,人工智能学院,2.0,1,1,65,82.0,1,必修,morning,0.0,0.0,4.4,5.0,221.2,2026/01/31 22:13
AI1810,人工智能基本原理与工程实践I（智能导论）,人工智能学院,2.0,1,1,137,137.0,1,必修,afternoon,0.0,0.0,5.0,1.0,95.0,2026/03/14 20:48
AI1811,人工智能基本原理与工程实践II（机器学习、深度学习、强化学习）,人工智能学院,3.0,1,1,130,82.0,1,必修,morning,0.0,0.0,1.0,1.0,588.0,2026/05/07 01:27
ART1002,书法与中国美学,人文学院,3.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0,,,,
ART1007,美育实践,人文学院,2.0,3,3,28,15.0,1,通识核心课程,mixed,1.0,0.0,5.0,3.0,86.7,2025/02/25 14:18
ART1009,世界艺术经典导引,人文学院,3.0,1,1,25,25.0,1,通识核心课程,evening,0.0,0.0,4.8,5.0,305.4,2025/09/03 10:47
ART1010,世界名剧精品赏析,人文学院,3.0,2,1,60,30.0,1,通识核心课程,evening,0.0,0.0,3.417,12.0,249.3,2026/04/03 16:44
ART1011,中国服饰艺术专题选讲,人文学院,2.0,1,1,25,25.0,1,通识核心课程,evening,0.0,0.0,,,,
ART1120,中国古典美学研究,人文学院,3.0,2,1,59,30.0,1,公共选修课,evening,0.0,0.0,4.625,8.0,133.1,2026/01/18 13:12
ART1131,表演艺术实践,人文学院,2.0,2,1,40,20.0,1,公共选修课,evening,0.0,0.0,3.8,10.0,301.8,2026/03/02 18:28
CH013,中国古典诗词欣赏,人文学院,2.0,1,1,0,30.0,1,公共选修课,evening,0.0,0.0,,,,
CH171,外国文学名著与电影赏析,人文学院,2.0,1,1,30,30.0,1,个性化课程,mixed,0.0,0.0,4.857,7.0,261.1,2026/01/22 11:04
CH936,中国现代小说选读,人文学院,2.0,1,1,272,40.0,1,通识核心课程,evening,0.0,0.0,4.209,43.0,241.5,2026/01/17 15:07
CH944,且共从容：唐宋词讲读,人文学院,2.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0,3.526,19.0,132.1,2026/01/14 19:50
CHN0902,初级汉语（1）,人文学院,4.0,2,1,0,25.0,2,必修,afternoon,0.0,0.0,5.0,1.0,50.0,2022/10/13 23:54
CHN0903,初级汉语（2）,人文学院,4.0,1,1,0,25.0,1,必修,evening,0.0,0.0,,,,
CHN0904,中级汉语（1）,人文学院,4.0,1,1,0,25.0,1,必修,evening,0.0,0.0,,,,
CHN0905,中级汉语（2）,人文学院,4.0,1,1,66,25.0,1,必修,evening,0.0,0.0,5.0,1.0,46.0,2022/10/07 21:16
CHN0906,高级汉语演讲（1）,人文学院,2.0,1,1,18,25.0,1,必修,evening,0.0,0.0,5.0,4.0,142.2,2025/02/23 11:14
CHN0907,高级汉语阅读（1）,人文学院,2.0,1,1,36,50.0,1,必修,mixed,0.0,0.0,5.0,4.0,116.0,2025/12/15 13:21
CHN0914,中国文化概要,人文学院,2.0,2,2,114,60.0,1,必修,mixed,0.0,0.0,5.0,7.0,151.9,2026/01/07 21:54
CHN1006,古典诗词鉴赏与创作,人文学院,3.0,1,1,25,25.0,1,通识核心课程,evening,0.0,0.0,,,,
CHN1011,现代中国文学与文化,人文学院,2.0,1,1,198,40.0,1,通识核心课程,evening,0.0,0.0,5.0,2.0,310.0,2025/02/19 09:18
CHN1014,汉字文化,人文学院,3.0,1,1,36,36.0,1,通识核心课程,evening,0.0,0.0,5.0,1.0,588.0,2025/08/11 09:03
CHN1015,《礼记》选读,人文学院,2.0,1,1,36,30.0,1,通识核心课程,evening,0.0,0.0,3.2,15.0,164.3,2026/01/12 14:25
CHN1017,当代中国经典作家导读,人文学院,2.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0,,,,
CHN1020,诗国与诗魂,人文学院,2.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0,5.0,7.0,148.6,2026/02/03 22:38
CHN1024,经典小说与中国文化,人文学院,2.0,1,1,50,50.0,1,通识核心课程,evening,0.0,0.0,4.5,4.0,250.0,2026/03/05 19:05
CHN1030,神话与创意,人文学院,2.0,1,1,40,40.0,1,通识核心课程,evening,0.0,0.0,4.2,25.0,197.6,2026/01/17 21:47
CHN1033,20世纪中国文学名著欣赏,人文学院,2.0,1,1,40,40.0,1,通识核心课程,evening,0.0,0.0,4.333,3.0,178.0,2026/01/18 16:15
CHN1037,《论语》导读,人文学院,2.0,1,1,39,30.0,1,通识核心课程,evening,0.0,0.0,2.75,12.0,253.1,2026/03/29 13:31
CHN1103,汉语视听说（1）,人文学院,4.0,1,1,0,3.0,1,必修,morning,0.0,0.0,,,,
CHN1203,创意写作（1）,人文学院,4.0,1,1,12,6.0,1,必修,morning,0.0,0.0,,,,
CHN1205,中文经典阅读（1）,人文学院,4.0,1,1,0,3.0,1,必修,morning,0.0,0.0,,,,
CHN1206,大学语文（1）,人文学院,4.0,1,1,0,3.0,1,必修,afternoon,0.0,0.0,,,,
