qsjsz,zjs,jszc,kkbm_id,cdbh,jxb_id,xkrs,cdlbmc,xqj,kch_id,zhxs,kch,kkxy,cdskjc,xqm,zws,jxbrs,zjxh,cdmc,zcd,sksj,kcmc,totalresult,kklx,skjc,xqh_id,jxbmc,xf,rwzxs,jxbzc,kcxzmc,cdjc,cdqsjsz,xnm,xn,xqmc,jsxx,xq,jc,jxlmc,nj,row_id,jxdd,xkbz
1-7周,郝丽霞,郝丽霞,37000,XY507,3C21FE542B2635AEE065F8163EE1DCCC,0,分组讨论教室,1,CHN0410J,理论(2.0),CHN0410J,密西根学院,第1-2节,3,36.0,20.0,1,下院507,127,星期一第1-2节{1-7周};星期三第1-4节{1-7周},汉语四（上）,5904,一专,1-2节,02,(2025-2026-1)-CHN0410J-01,2.0,30,2022机械工程,限选,3,第1-7周,2025,2025-2026,闵行,郝丽霞,1,3,下院,2022,1,下院507;下院507,
1-8周,任锐,任锐,03300,DSY202,3487041D2C117B1DE065F8163EE1DCCC,96,智慧教室,1,0E7B1CB95CD8A4A6E065F8163EE1DCCC,理论(6.0)-课程设计(6.0),SE3309,计算机学院,第1-2节,3,105.0,103.0,2,东上院202,255,星期一第1-2节{1-8周};星期五第1-2节{1-8周};星期六第1-8节{1-8周},互联网产品开发与运维,5904,一专,1-2节,02,(2025-2026-1)-SE3309-01,3.0,96,2023软件工程,必修,3,第1-8周,2025,2025-2026,闵行,任锐,1,3,东上院,2023,2,东上院202;东上院412;不排教室,有虚拟排课
1-8周,庄慎,庄慎,43000,DZY-3-305,33859596C38401A5E065F8163EE1DCCC,41,智慧教室,1,1ABFB4DABBF978D0E065F8163EE1DCCC,理论(1.0),ED2202,设计学院,第1-2节,3,58.0,50.0,3,东中院3-305,255,星期一第1-2节{1-8周},设计思维,5904,一专,1-2节,02,(2025-2026-1)-ED2202-01,1.0,16,2024环境设计(建筑与城市设计方向);2024环境设计(景观与生态设计方向),必修,3,第1-8周,2025,2025-2026,闵行,庄慎,1,3,东中院3号楼,2024,3,东中院3-305,
1-8周,陈思捷,陈思捷,03100,DXY213,336DD0DB34464F0EE065F8163EE1DCCC,25,智慧教室,1,B59BF6383E5B6B45E055F8163ED16360,理论(1.5)-课程设计(0.5),EE4320,电气工程学院,第1-2节,3,45.0,25.0,4,东下院213,255,星期一第1-2节{1-8周};星期三第3-4节{1-8周},区块链技术及其在能源互联网的应用,5904,一专,1-2节,02,(2025-2026-1)-EE4320-01,2.0,32,2022电气工程及其自动化;2022智慧能源工程;2022智慧能源工程(产教融合培养班),限选,3,第1-8周,2025,2025-2026,闵行,陈思捷,1,3,东下院,2022,4,东下院213;东下院213,
1-8周,刘功申,刘功申;孟魁;张倬胜,03300,CRQ112,34846B00157E1908E065F8163EE1DCCC,49,多媒体教室,1,BCEBFB6549D18105E055F8163EE1DCCC,理论(1.5)-实验(0.5),NIS4344,计算机学院,第1-2节,3,54.0,50.0,5,陈瑞球楼112,255,星期一第1-2节{1-8周};星期三第3-4节{1-8周},计算机病毒原理及实践,5904,一专,1-2节,02,(2025-2026-1)-NIS4344-01,2.0,32,2022信息安全,限选,3,第1-8周,2025,2025-2026,闵行,刘功申;孟魁;张倬胜,1,3,陈瑞球楼,2022,5,陈瑞球楼112;陈瑞球楼112,
1-8周,李生红,李生红,03300,DSY102,3482D9CA25731946E065F8163EE1DCCC,77,智慧教室,1,BD8CB3B45A1545F8E055F8163EE1DCCC,理论(2.0),NIS3360,计算机学院,第1-2节,3,105.0,95.0,6,东上院102,255,星期一第1-2节{1-8周};星期四第1-2节{1-8周},数字信号处理（E）,5904,一专,1-2节,02,(2025-2026-1)-NIS3360-01,2.0,32,2023信息安全,必修,3,第1-8周,2025,2025-2026,闵行,李生红,1,3,东上院,2023,6,东上院102;东中院1-107,
1-8周,姚君喜,姚君喜,20000,DXY111,33BC68E5883F9653E065F8163EE1DCCC,29,智慧教室,1,CIM1243,理论(2.0),CIM1243,媒体与传播学院,第1-2节,3,54.0,30.0,7,东下院111,255,星期一第1-2节{1-8周};星期四第7-8节{1-8周},中国文化史,5904,一专,1-2节,02,(2025-2026-1)-CIM1243-01,2.0,32,2024传播学,必修,3,第1-8周,2025,2025-2026,闵行,姚君喜,1,3,东下院,2024,7,东下院111;东下院111,
1-8周,惠楠,惠楠,15000,DZY-1-204,339506F650560D31E065F8163EE1DCCC,1,智慧教室,1,ECOL4405,理论(2.0),ECOL4405,农业与生物学院,第1-2节,3,24.0,17.0,8,东中院1-204,255,星期一第1-2节{1-8周};星期三第3-4节{1-8周},分子生态学,5904,一专,1-2节,02,(2025-2026-1)-ECOL4405-01,2.0,32,2022农业资源与环境;2022农业资源与环境-环境科学与工程,限选,3,第1-8周,2025,2025-2026,闵行,惠楠,1,3,东中院1号楼,2022,8,东中院1-204;东中院1-204,
1-8周,孙向军,孙向军,15000,DZY-2-405,337D257EFA3A0475E065F8163EE1DCCC,11,智慧教室,1,FOST3408,理论(2.0),FOST3408,农业与生物学院,第1-2节,3,20.0,14.0,9,东中院2-405,255,星期一第1-2节{1-8周};星期三第1-2节{1-8周},食品生物技术,5904,一专,1-2节,02,(2025-2026-1)-FOST3408-01,2.0,32,2023食品科学与工程,限选,3,第1-8周,2025,2025-2026,闵行,孙向军,1,3,东中院2号楼,2023,9,东中院2-405;东中院2-405,仅限食品科学与工程专业学生选课
1-8周,王世平,王世平,15000,DXY309,3382B8F1932EDB04E065F8163EE1DCCC,28,智慧教室,1,HORT4401,理论(1.5)-其他(0.5),HORT4401,农业与生物学院,第1-2节,3,45.0,28.0,10,东下院309,255,星期一第1-2节{1-8周};星期三第1-2节{1-8周},设施园艺学,5904,一专,1-2节,02,(2025-2026-1)-HORT4401-01,2.0,32,2022植物科学与技术;2022智慧农业,"必修,限选",3,第1-8周,2025,2025-2026,闵行,王世平,1,3,东下院,2022,10,东下院309;东下院309,实践教学分组、作业分组；4-6人
1-8周,孙卫强,孙卫强,03400,DZY-4-503,335432641DA2511AE065F8163EE1DCCC,33,智慧教室,1,ICE4316,理论(2.0),ICE4316,集成电路学院（信息与电子工程学院）,第1-2节,3,48.0,33.0,11,东中院4-503,255,星期一第1-2节{1-8周};星期三第3-4节{1-8周},数据通信网络模型和算法,5904,一专,1-2节,02,(2025-2026-1)-ICE4316-01,2.0,32,2022信息工程,限选,3,第1-8周,2025,2025-2026,闵行,孙卫强,1,3,东中院4号楼,2022,11,东中院4-503;东中院4-503,
